VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cyprus,2019,0.2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cyprus,2020,0.2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cyprus,2021,0.2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Denmark,2017,2,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Denmark,2018,2,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Denmark,2019,2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Denmark,2020,2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Denmark,2021,2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Dominican Republic,2017,2.469,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Dominican Republic,2018,2.469,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Dominican Republic,2019,2.469,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Dominican Republic,2020,2.469,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Dominican Republic,2021,2.469,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Egypt,2017,0.7,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Egypt,2018,0.7,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Egypt,2019,0.7,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Egypt,2020,0.7,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Egypt,2021,0.7,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Ethiopia,2017,2.6,10^9 m3/year,-,FALSE
